FLIGHT REG,AGE
N955NN,8 years
N303RE,5 years
N326RP,4 years
N378SC,4 years
N323RM,4 years
N336RU,4 years
N315RJ,5 years
N350RV,4 years
N316RK,4 years
N306SW,1 year
N341SV,2 years
N765US,22 years
N803AW,24 years
N813AW,23 years
N778XF,13 years
N752US,22 years
N748UW,22 years
N812AW,23 years
N775XF,19 years
N754UW,22 years
N702UW,24 years
N757UW,22 years
N745VJ,22 years
N836AW,17 years
N733UW,23 years
N753US,22 years
N762US,22 years
N835AW,18 years
N744P,22 years
N807AW,23 years
N837AW,17 years
N768US,22 years
N750UW,22 years
N827AW,21 years
N108UW,23 years
N105UW,23 years
N649AW,25 years
N110UW,23 years
N679AW,17 years
N838AW,17 years
N755US,22 years
N119US,22 years
N111US,23 years
N114UW,23 years
N128UW,13 years
N732US,23 years
N814AW,22 years
N126UW,13 years
N127UW,13 years
N673AW,18 years
N117UW,23 years
N831AW,21 years
N118US,22 years
N121UW,22 years
N180US,21 years
N554UW,11 years
N184US,21 years
N521UW,13 years
N546UW,11 years
N918US,8 years
N152UW,10 years
N567UW,9 years
N161UW,22 years
N169UW,22 years
N914UY,8 years
N542UW,13 years
N917UY,8 years
N579UW,9 years
N181UW,21 years
N197UW,13 years
N155UW,9 years
N925UY,7 years
N581UW,8 years
N188US,21 years
N563UW,10 years
N179UW,21 years
N537UW,13 years
N926UW,7 years
N573UW,9 years
N156UW,9 years
N572UW,9 years
N519UW,14 years
N157UW,9 years
N977UY,10 years
N508AY,14 years
N535UW,13 years
N923US,8 years
N585UW,8 years
N583UW,8 years
N921US,8 years
N536UW,13 years
N973UY,11 years
N982VJ,10 years
N189UW,22 years
N556UW,10 years
N553UW,11 years
N167US,22 years
N971UY,8 years
N192UW,22 years
N976UY,10 years
N970UY,13 years
N912UY,8 years
N981UY,9 years
N927UW,7 years
N437AN,1 year
N915US,8 years
N153UW,10 years
N972UY,13 years
N580UW,8 years
N191UW,22 years
N171US,22 years
N919US,8 years
N163US,22 years
N545UW,11 years
N562UW,10 years
