,0
0,N455MB
132,GLF4
139,B-222J
140,B-2077
141,B-223A
144,B-222N
149,B-221S
150,B-2076
156,B-222V
157,B-220E
160,B-2082
161,B-2083
178,B-220F
180,B-222K
188,B-222H
211,B-221W
298,N251SY
299,N261SY
300,N246SY
301,N241SY
302,N247SY
303,N307SY
304,N614CZ
306,N313SY
308,N310SY
309,N607CZ
310,N297SY
311,N259SY
312,N603CZ
313,N311SY
314,N250SY
316,N604CZ
318,N613CZ
319,N323SY
320,N312SY
321,N306SY
322,N280SY
324,N625CA
326,N641CA
328,N162PQ
330,N712EV
332,N607SK
344,N609SK
348,N608SK
360,N804SK
378,N692CA
379,N554CA
380,N806SK
381,N836SK
382,N822SK
384,N549CA
385,N803SK
386,N840SK
387,N838SK
389,N689CA
391,N809SK
392,N170PQ
393,N805SK
397,N816SK
398,N802SK
399,N679CA
403,N832SK
404,N161PQ
406,N187PQ
409,N800SK
411,N897SK
420,N839SK
423,N824SK
430,N817SK
432,N693CA
443,N827SK
448,N831SK
449,N304SY
450,N830SK
460,N829SK
472,N834SK
473,N442SW
474,N873AS
475,N702BR
476,N506CA
477,N922EV
479,N498CA
481,N936EV
483,N477CA
484,N926EV
487,N459SW
488,N921EV
490,N449SW
500,N461SW
510,N460SW
524,N878AS
536,N446SW
540,N874AS
542,N445SW
551,N439SW
556,N293SY
559,N258SY
560,N295SY
561,N243SY
564,N254SY
565,N242SY
566,N256SY
567,N308SY
568,N305SY
570,N294SY
576,N253SY
577,N303SY
580,N252SY
587,N276SY
589,N260SY
592,N813SK
594,N548CA
596,N898SK
607,N823SK
619,N899SK
622,N827NW
623,N823NW
624,N831NW
625,N826NW
626,N824NW
627,N830NW
629,N416DX
632,N828NW
635,N822NW
636,N825NW
640,N812NW
641,N820NW
643,N415DX
644,N817NW
646,N408DX
649,N813NW
650,N804NW
651,N803NW
658,N808NW
662,N821NW
663,N407DX
664,N810NW
665,N409DX
666,N420DX
668,N806NW
671,N818NW
672,N815NW
673,N816NW
675,N802NW
688,N807NW
690,N811NW
696,N801NW
700,N809NW
704,N805NW
709,N859NW
711,N414DZ
736,N829NW
752,N814NW
775,N819NW
776,N419DX
780,N411DX
781,N404DX
782,N417DX
783,N418DX
806,N853NW
858,N412DX
863,N403DX
897,N860NW
898,N861NW
901,N854NW
907,N857NW
908,N855NW
910,N852NW
913,N858NW
918,N405DX
921,N410DZ
925,N402DX
926,N406DX
932,N401DZ
953,N828MH
954,N827MH
955,N838MH
956,N843MH
957,N844MH
961,N835MH
963,N837MH
964,N833MH
984,N907XJ
986,N186PQ
988,N605LR
990,N313PQ
992,N924XJ
994,N349PQ
996,N303PQ
998,N181PQ
1000,N913XJ
1002,N695CA
1004,N316PQ
1006,N293PQ
1008,N153PQ
1010,N903XJ
1012,N200PQ
1016,N936XJ
1018,N604LR
1022,N308PQ
1024,N330PQ
1026,N325PQ
1028,N298PQ
1030,N307PQ
1033,N296PQ
1035,N319PQ
1037,N184GJ
1039,N691CA
1041,N135EV
1043,N929XJ
1045,N329PQ
1048,N147PQ
1054,N292PQ
1056,N228PQ
1058,N606LR
1059,N901XJ
1061,N928XJ
1063,N909XJ
1065,N932XJ
1069,N309PQ
1071,N302PQ
1074,N294PQ
1078,N320PQ
1083,N195PQ
1088,N485PX
1089,N131EV
1092,N336PQ
1093,N908XJ
1096,N935XJ
1097,N600LR
1099,N923XJ
1101,N279PQ
1102,N582CA
1105,N676CA
1106,N905XJ
1107,N921XJ
1110,N187GJ
1112,N232PQ
1117,N181GJ
1118,N478PX
1120,N197PQ
1123,N926XJ
1126,N314PQ
1127,N176PQ
1129,N491PX
1133,N337PQ
1134,N304PQ
1136,N930XJ
1142,N183GJ
1143,N306PQ
1145,N371CA
1148,N335PQ
1151,N937XJ
1153,N326PQ
1155,N133EV
1159,N295PQ
1161,N311PQ
1163,N305PQ
1170,N166PQ
1172,N601LR
1177,N8903A
1179,N601XJ
1180,N834AY
1181,N8908D
1182,N8970D
1183,N931XJ
1186,N910XJ
1193,N300PQ
1198,N678CA
1200,N136EV
1201,N607LR
1203,N927XJ
1207,N297PQ
1209,N324PQ
1212,N301PQ
1216,N272PQ
1226,N906XJ
1229,N915XJ
1236,N348PQ
1239,N925XJ
1242,N341PQ
1246,N146PQ
1255,N315PQ
1269,N482PX
1271,N919XJ
1273,N479PX
1288,N538CA
1296,N134EV
1302,N310PQ
1311,N137EV
1315,N331PQ
1325,N299PQ
1337,N602LR
1344,N132EV
1354,N182GJ
1505,EI-FNH
1506,EI-DUZ
1508,EI-EAV
1514,EI-FNG
1517,EI-EIL
1525,EI-EIM
1528,EC-MAJ
1532,EI-GAJ
1568,EI-EDY
1753,EI-EIN
1759,EI-EIK
1868,N334SM
1870,N303RG
1872,N326SJ
1874,N328RR
1876,N316SE
1880,N321RL
1882,N302SA
1884,N341RW
1886,N306RC
1888,N327SK
1893,N308RD
1895,N302SS
1897,N329SL
1899,N324RA
1901,N338ST
1903,N304RB
1919,N310RF
1923,N323SG
1925,N336SR
1929,N306SP
1935,N338RS
